child,parent
CALR,R-HSA-381033
DDIT3,R-HSA-381033
HSP90B1,R-HSA-381033
HSPA5,R-HSA-381033
MBTPS1,R-HSA-381033
MBTPS2,R-HSA-381033
NFYA,R-HSA-381033
NFYB,R-HSA-381033
NFYC,R-HSA-381033
XBP1,R-HSA-381033
ATF6B,R-HSA-8874177
HSPA5,R-HSA-8874177
MBTPS1,R-HSA-8874177
MBTPS2,R-HSA-8874177
ABCC8,R-HSA-1296025
ABCC9,R-HSA-1296025
KCNJ11,R-HSA-1296025
KCNJ8,R-HSA-1296025
ACTB,R-HSA-9932444
ACTL6A,R-HSA-9932444
ACTL6B,R-HSA-9932444
ARID1A,R-HSA-9932444
ARID1B,R-HSA-9932444
ARID2,R-HSA-9932444
BCL11A,R-HSA-9932444
BCL11B,R-HSA-9932444
BCL7A,R-HSA-9932444
BCL7B,R-HSA-9932444
BCL7C,R-HSA-9932444
BICRA,R-HSA-9932444
BICRAL,R-HSA-9932444
BRD7,R-HSA-9932444
BRD9,R-HSA-9932444
DPF1,R-HSA-9932444
DPF2,R-HSA-9932444
DPF3,R-HSA-9932444
PBRM1,R-HSA-9932444
PHF10,R-HSA-9932444
SMARCA2,R-HSA-9932444
SMARCA4,R-HSA-9932444
SMARCB1,R-HSA-9932444
SMARCC1,R-HSA-9932444
SMARCC2,R-HSA-9932444
SMARCD1,R-HSA-9932444
SMARCD2,R-HSA-9932444
SMARCD3,R-HSA-9932444
SMARCE1,R-HSA-9932444
SS18,R-HSA-9932444
SS18L1,R-HSA-9932444
ADRM1,R-HSA-450408
EIF4G1,R-HSA-450408
HNRNPD,R-HSA-450408
HSPA1A,R-HSA-450408
HSPA8,R-HSA-450408
HSPB1,R-HSA-450408
PABPC1,R-HSA-450408
PSMA1,R-HSA-450408
PSMA2,R-HSA-450408
PSMA3,R-HSA-450408
PSMA4,R-HSA-450408
PSMA5,R-HSA-450408
PSMA6,R-HSA-450408
PSMA7,R-HSA-450408
PSMB1,R-HSA-450408
PSMB2,R-HSA-450408
PSMB3,R-HSA-450408
PSMB4,R-HSA-450408
PSMB5,R-HSA-450408
PSMB6,R-HSA-450408
PSMB7,R-HSA-450408
PSMC1,R-HSA-450408
PSMC2,R-HSA-450408
PSMC3,R-HSA-450408
PSMC4,R-HSA-450408
PSMC5,R-HSA-450408
PSMC6,R-HSA-450408
PSMD1,R-HSA-450408
